benchmark,n_2q,n_1q,ZAP_F_total,ZAP_F_2q,ZAP_F_idle,ZAP_F_tr,ZAP_F_dec,ZAP_dur_us,NAC_F_total,NAC_F_2q,NAC_F_idle,NAC_F_tr,NAC_F_dec,NAC_dur_us,delta_F_total_pct,NAC_n_instructions
adder_n4,10,23,0.913966,0.95111,1,0.9695,0.9981,1392.0,0.905245,0.95111,0.995,0.9646,0.9985,1327.0,-0.95,46
qaoa_n6,36,78,0.747267,0.834893,1,0.9286,0.9866,4723.0,0.751371,0.834893,1.0,0.9305,0.9901,3832.0,0.55,125
qft_n10,90,174,0.502853,0.636909,1,0.8676,0.9588,7905.0,0.505748,0.636909,1.0,0.8693,0.9624,7392.0,0.58,252
sat_n11,252,408,0.083305,0.300289,0.8043,0.5136,0.7618,41928.0,0.088669,0.300289,0.6733,0.5849,0.8504,26515.0,6.44,1227
bv_n14,13,29,0.854681,0.936915,1,0.9493,0.9693,3656.0,0.849741,0.936915,0.9975,0.9455,0.97,3597.0,-0.58,106
multiplier_n15,222,310,0.082383,0.328643,0.7424,0.512,0.7237,35720.0,0.08049,0.328643,0.7387,0.5024,0.7243,35847.0,-2.3,1230
qnn_n15,73,129,0.460269,0.693561,0.9631,0.8056,0.889,12992.0,0.463255,0.693561,0.9488,0.8137,0.8993,11849.0,0.65,388
vqc_n15,448,116,0.016651,0.105862,0.7295,0.3505,0.637,48984.0,0.016141,0.105862,0.6852,0.3561,0.647,47463.0,-3.06,1650
qram_n20,130,187,0.358395,0.599728,0.9464,0.8024,0.8393,14260.0,0.366994,0.599728,0.9393,0.8008,0.8677,11794.0,2.4,433
knn_n25,84,146,0.321517,0.656355,0.93,0.7224,0.7618,17380.0,0.335575,0.656355,0.9161,0.7348,0.7935,14886.0,4.37,506
ising_n26,50,102,0.65784,0.778313,1,0.9203,0.9469,3553.0,0.657988,0.778313,1.0,0.9231,0.9443,3707.0,0.02,94
wstate_n27,52,105,0.491685,0.770549,0.995,0.8105,0.8166,11879.0,0.471579,0.770549,0.9975,0.8056,0.7859,14032.0,-4.09,404
ghz_n30,29,59,0.64328,0.864708,1,0.8904,0.8504,8438.0,0.636236,0.864708,0.9975,0.8869,0.8466,8679.0,-1.1,239
cat_n35,34,70,0.564581,0.843305,1,0.8728,0.7834,10829.0,0.566192,0.843305,0.9975,0.8693,0.7907,10423.0,0.29,282
