benchmark,policy,F_total,F_wo_1q,F_2q,F_idle,F_tr,F_dec,total_duration,stages,n_2q
adder_n4,Always Move,0.91396646,0.92029559,0.95111013,1.00000000,0.96946054,0.99808240,1391.66,13,10
adder_n4,Always Stay,0.91145995,0.91777173,0.95111013,0.99003744,0.97627399,0.99834473,1196.69,13,10
adder_n4,Dynamic (ZAP),0.91396646,0.92029559,0.95111013,1.00000000,0.96946054,0.99808240,1391.66,13,10
qaoa_n6,Always Move,0.74726711,0.76496204,0.83489317,1.00000000,0.92863731,0.98664938,4723.09,45,36
qaoa_n6,Always Stay,0.69376237,0.71019034,0.83489317,0.90020617,0.95311090,0.99142172,3252.82,45,36
qaoa_n6,Dynamic (ZAP),0.74726711,0.76496204,0.83489317,1.00000000,0.92863731,0.98664938,4723.09,45,36
qft_n10,Always Move,0.50285251,0.52980274,0.63690883,1.00000000,0.86755962,0.95882113,7904.94,69,90
qft_n10,Always Stay,0.42012889,0.44264557,0.63690883,0.80229777,0.89757909,0.96509606,6768.36,69,90
qft_n10,Dynamic (ZAP),0.50285251,0.52980274,0.63690883,1.00000000,0.86755962,0.95882113,7904.94,69,90
sat_n11,Always Move,0.09099132,0.10321178,0.30028897,1.00000000,0.47124542,0.72936133,48436.02,452,252
sat_n11,Always Stay,0.03026677,0.03433171,0.30028897,0.20454147,0.67692477,0.82572286,29819.87,452,252
sat_n11,Dynamic (ZAP),0.08330499,0.09449315,0.30028897,0.80430854,0.51358834,0.76176870,41927.55,452,252
bv_n14,Always Move,0.85468126,0.86215055,0.93691469,1.00000000,0.94930417,0.96934343,3655.96,28,13
bv_n14,Always Stay,0.70384881,0.70999993,0.93691469,0.82263378,0.94930417,0.97039004,3533.60,28,13
bv_n14,Dynamic (ZAP),0.85468126,0.86215055,0.93691469,1.00000000,0.94930417,0.96934343,3655.96,28,13
multiplier_n15,Always Move,0.08129663,0.08922118,0.32864265,1.00000000,0.42425152,0.63991257,48975.93,262,222
multiplier_n15,Always Stay,0.00455978,0.00500425,0.32864265,0.03129390,0.63303558,0.76864801,29137.24,262,222
multiplier_n15,Dynamic (ZAP),0.08238325,0.09041372,0.32864265,0.74239599,0.51204912,0.72370769,35720.35,262,222
qnn_n15,Always Move,0.46652010,0.48493115,0.69356137,1.00000000,0.78968742,0.88540091,13509.38,83,73
qnn_n15,Always Stay,0.21214887,0.22052125,0.69356137,0.38628128,0.88332504,0.93183998,7945.44,83,73
qnn_n15,Dynamic (ZAP),0.46026859,0.47843293,0.69356137,0.96314919,0.80564823,0.88899055,12991.54,83,73
vqc_n15,Always Move,0.01555644,0.01610742,0.10586202,1.00000000,0.27072454,0.56202828,62888.86,159,448
vqc_n15,Always Stay,0.01337240,0.01384602,0.10586202,0.54566092,0.37288198,0.64282186,47882.81,159,448
vqc_n15,Dynamic (ZAP),0.01665062,0.01724036,0.10586202,0.72950110,0.35045452,0.63701325,48984.35,159,448
qram_n20,Always Move,0.35947966,0.38343391,0.59972788,1.00000000,0.78104416,0.81857918,16223.66,149,130
qram_n20,Always Stay,0.18070771,0.19274933,0.59972788,0.41536455,0.87453143,0.88477694,10071.87,149,130
qram_n20,Dynamic (ZAP),0.35839496,0.38227694,0.59972788,0.94641997,0.80243047,0.83932962,14260.40,149,130
knn_n25,Always Move,0.32516540,0.33972638,0.65635498,1.00000000,0.69685312,0.74276126,18963.77,114,84
knn_n25,Always Stay,0.01372870,0.01434348,0.65635498,0.03152978,0.84274947,0.82242500,12514.42,114,84
knn_n25,Dynamic (ZAP),0.32151727,0.33591489,0.65635498,0.92998132,0.72240987,0.76178527,17379.98,114,84
ising_n26,Always Move,0.65784045,0.67828463,0.77831256,1.00000000,0.92031293,0.94693990,3552.99,9,50
ising_n26,Always Stay,0.65289315,0.67318359,0.77831256,0.99003744,0.92215632,0.94737804,3522.22,9,50
ising_n26,Dynamic (ZAP),0.65784045,0.67828463,0.77831256,1.00000000,0.92031293,0.94693990,3552.99,9,50
wstate_n27,Always Move,0.49114502,0.50686472,0.77054889,1.00000000,0.80887889,0.81322059,12114.06,57,52
wstate_n27,Always Stay,0.23638034,0.24394600,0.77054889,0.44108240,0.85378229,0.84067208,10173.76,57,52
wstate_n27,Dynamic (ZAP),0.49168525,0.50742225,0.77054889,0.99500625,0.81049908,0.81656540,11878.61,57,52
ghz_n30,Always Move,0.64328002,0.65476917,0.86470773,1.00000000,0.89042354,0.85039804,8437.68,59,29
ghz_n30,Always Stay,0.23305054,0.23721289,0.86470773,0.36194216,0.89042354,0.85120298,8393.79,59,29
ghz_n30,Dynamic (ZAP),0.64328002,0.65476917,0.86470773,1.00000000,0.89042354,0.85039804,8437.68,59,29
cat_n35,Always Move,0.56458106,0.57656445,0.84330514,1.00000000,0.87278324,0.78335156,10828.91,69,34
cat_n35,Always Stay,0.14173799,0.14474642,0.84330514,0.24554966,0.87278324,0.80089824,9857.55,69,34
cat_n35,Dynamic (ZAP),0.56458106,0.57656445,0.84330514,1.00000000,0.87278324,0.78335156,10828.91,69,34
