f_tr,f_xtalk,ERR,F_dynamic,F_always_move
0.9900,0.9900,-0.009599,0.031806,0.041012
0.9900,0.9930,0.003499,0.044367,0.041012
0.9900,0.9960,0.021704,0.061826,0.041012
0.9900,0.9975,0.033311,0.072956,0.041012
0.9900,0.9985,0.042176,0.081458,0.041012
0.9900,0.9990,0.046984,0.086069,0.041012
0.9900,0.9995,0.052063,0.090939,0.041012
0.9930,0.9900,-0.023152,0.065446,0.086592
0.9930,0.9930,-0.003252,0.083622,0.086592
0.9930,0.9960,0.022087,0.106767,0.086592
0.9930,0.9975,0.037240,0.120608,0.086592
0.9930,0.9985,0.048404,0.130805,0.086592
0.9930,0.9990,0.054330,0.136218,0.086592
0.9930,0.9995,0.060499,0.141852,0.086592
0.9960,0.9900,-0.037280,0.151940,0.182420
0.9960,0.9930,-0.010816,0.173577,0.182420
0.9960,0.9960,0.019319,0.198214,0.182420
0.9960,0.9975,0.035916,0.211783,0.182420
0.9960,0.9985,0.047592,0.221329,0.182420
0.9960,0.9990,0.053621,0.226259,0.182420
0.9960,0.9995,0.059781,0.231296,0.182420
0.9970,0.9900,-0.056856,0.190166,0.233732
0.9970,0.9930,-0.026617,0.213337,0.233732
0.9970,0.9960,0.007199,0.239249,0.233732
0.9970,0.9975,0.025574,0.253329,0.233732
0.9970,0.9985,0.038405,0.263161,0.233732
0.9970,0.9990,0.045001,0.268215,0.233732
0.9970,0.9995,0.051720,0.273364,0.233732
0.9980,0.9900,-0.071445,0.249351,0.299405
0.9980,0.9930,-0.038804,0.272219,0.299405
0.9980,0.9960,-0.003282,0.297105,0.299405
0.9980,0.9975,0.015635,0.310359,0.299405
0.9980,0.9985,0.028697,0.319509,0.299405
0.9980,0.9990,0.035366,0.324182,0.299405
0.9980,0.9995,0.042129,0.328920,0.299405
0.9990,0.9900,-0.096730,0.323794,0.383434
0.9990,0.9930,-0.060582,0.346081,0.383434
0.9990,0.9960,-0.022067,0.369828,0.383434
0.9990,0.9975,-0.001876,0.382277,0.383434
0.9990,0.9985,0.011943,0.390797,0.383434
0.9990,0.9990,0.018962,0.395125,0.383434
0.9990,0.9995,0.026056,0.399499,0.383434
0.9995,0.9900,-0.025704,0.419325,0.433877
0.9995,0.9930,-0.016685,0.424431,0.433877
0.9995,0.9960,-0.007584,0.429583,0.433877
0.9995,0.9975,-0.003002,0.432177,0.433877
0.9995,0.9985,0.000063,0.433912,0.433877
0.9995,0.9990,0.001600,0.434782,0.433877
0.9995,0.9995,0.003138,0.435653,0.433877
