n_qubits,n_instances,F_2q_mean,F_2q_std,F_idle_mean,F_idle_std,F_tr_mean,F_tr_std,F_dec_mean,F_dec_std,F_wo_1q_mean,duration_mean,duration_std
10,3,0.927569,0.000000,0.993352,0.003103,0.939859,0.003071,0.984720,0.000687,0.852756,2636.7,121.3
20,3,0.860384,0.000000,0.976925,0.005776,0.877166,0.003286,0.933712,0.002813,0.688412,5520.0,239.7
30,3,0.798066,0.000000,0.950425,0.009549,0.827720,0.004437,0.855854,0.009797,0.537328,8172.7,586.3
40,3,0.740261,0.000000,0.909392,0.015159,0.781326,0.005797,0.762221,0.019025,0.400912,10586.0,939.1
50,3,0.686643,0.000000,0.817915,0.010869,0.744190,0.004909,0.645430,0.010900,0.269757,13548.6,520.2
60,3,0.636909,0.000000,0.813152,0.010820,0.685162,0.009137,0.512268,0.022478,0.181777,17189.8,1085.0
70,3,0.590777,0.000000,0.725735,0.026240,0.652348,0.005548,0.400241,0.008321,0.111945,20071.0,454.1
80,3,0.547986,0.000000,0.690758,0.021881,0.611743,0.018727,0.290483,0.025315,0.067264,23703.3,1613.1
90,3,0.508295,0.000000,0.615889,0.026652,0.584604,0.008789,0.226713,0.012493,0.041491,25209.1,935.4
100,3,0.471479,0.000000,0.566083,0.004391,0.543932,0.004892,0.148097,0.006036,0.021500,29120.1,611.3
