benchmark,paper_F_wo_1q,our_F_wo_1q,delta,status,note,our_F_total,our_F_2q,our_F_idle,our_F_tr,our_F_dec,our_n_1q,our_n_2q,our_dur_us
adder_n4,0.93,0.920296,-0.009704,WITHIN_VISUAL_ERROR,,0.913966,0.95111,1,0.9695,0.9981,23,10,1391.662487
qaoa_n6,0.76,0.764962,0.004962,WITHIN_VISUAL_ERROR,,0.747267,0.834893,1,0.9286,0.9866,78,36,4723.089702
qft_n10,0.541,0.529803,-0.011197,DELTA,paper=0.541, ours=0.530, delta=-0.0112 (-2.1%),0.502853,0.636909,1,0.8676,0.9588,174,90,7904.94355
sat_n11,0.1,0.094493,-0.005507,WITHIN_VISUAL_ERROR,,0.083305,0.300289,0.8043,0.5136,0.7618,408,252,41927.545145
bv_n14,0.86,0.862151,0.002151,WITHIN_VISUAL_ERROR,,0.854681,0.936915,1,0.9493,0.9693,29,13,3655.9578
multiplier_n15,0.1,0.090414,-0.009586,WITHIN_VISUAL_ERROR,,0.082383,0.328643,0.7424,0.512,0.7237,310,222,35720.34993
qnn_n15,0.47,0.478433,0.008433,WITHIN_VISUAL_ERROR,,0.460269,0.693561,0.9631,0.8056,0.889,129,73,12991.536303
vqc_n15,0.03,0.01724,-0.01276,WITHIN_VISUAL_ERROR,,0.016651,0.105862,0.7295,0.3505,0.637,116,448,48984.352041
qram_n20,0.38,0.382277,0.002277,WITHIN_VISUAL_ERROR,,0.358395,0.599728,0.9464,0.8024,0.8393,187,130,14260.396134
knn_n25,0.34,0.335915,-0.004085,WITHIN_VISUAL_ERROR,,0.321517,0.656355,0.93,0.7224,0.7618,146,84,17379.983637
ising_n26,0.68,0.678285,-0.001715,WITHIN_VISUAL_ERROR,,0.65784,0.778313,1,0.9203,0.9469,102,50,3552.986522
wstate_n27,0.52,0.507422,-0.012578,WITHIN_VISUAL_ERROR,,0.491685,0.770549,0.995,0.8105,0.8166,105,52,11878.607745
ghz_n30,0.66,0.654769,-0.005231,WITHIN_VISUAL_ERROR,,0.64328,0.864708,1,0.8904,0.8504,59,29,8437.683381
cat_n35,0.58,0.576564,-0.003436,WITHIN_VISUAL_ERROR,,0.564581,0.843305,1,0.8728,0.7834,70,34,10828.913899
